algorithm,engine,N,repeat,TPS(tx/s),P99(ms),success_rate
CometBFT-light,cometbft-light,48,6,216.203108,1214.300000,1.000000
CometBFT-light,cometbft-light,48,7,248.868984,1290.530000,1.000000
CometBFT-light,cometbft-light,48,8,173.054126,1150.248000,1.000000
CometBFT-light,cometbft-light,48,9,190.061585,1231.472000,1.000000
CometBFT-light,cometbft-light,48,10,247.573440,1227.923000,1.000000
CometBFT-light,cometbft-light,56,1,129.034990,1558.676000,1.000000
CometBFT-light,cometbft-light,56,2,142.757598,1612.853000,1.000000
CometBFT-light,cometbft-light,56,3,136.623052,1583.220000,1.000000
CometBFT-light,cometbft-light,56,4,136.095136,1542.134000,1.000000
CometBFT-light,cometbft-light,56,5,183.295940,1690.243000,1.000000
CometBFT-light,cometbft-light,56,6,129.548389,1233.137000,1.000000
CometBFT-light,cometbft-light,56,7,151.859105,1544.927000,1.000000
CometBFT-light,cometbft-light,56,8,160.949245,1619.580000,1.000000
CometBFT-light,cometbft-light,56,9,150.811531,1519.480000,1.000000
CometBFT-light,cometbft-light,56,10,98.122470,1543.808000,1.000000
CometBFT-light,cometbft-light,64,1,107.024340,2046.354000,1.000000
CometBFT-light,cometbft-light,64,2,120.444703,1940.976000,1.000000
CometBFT-light,cometbft-light,64,3,106.925831,1987.234000,1.000000
CometBFT-light,cometbft-light,64,4,101.619589,2023.703000,1.000000
CometBFT-light,cometbft-light,64,5,118.469764,1986.325000,1.000000
CometBFT-light,cometbft-light,64,6,106.645176,1922.938000,1.000000
CometBFT-light,cometbft-light,64,7,129.767371,1990.673000,1.000000
CometBFT-light,cometbft-light,64,8,94.988494,1529.033000,1.000000
CometBFT-light,cometbft-light,64,9,147.744436,2038.557000,1.000000
CometBFT-light,cometbft-light,64,10,106.999449,2022.757000,1.000000
CometBFT-light,cometbft-light,72,1,80.695065,2393.323000,1.000000
CometBFT-light,cometbft-light,72,2,90.271849,2468.663000,1.000000
CometBFT-light,cometbft-light,72,3,76.652236,2455.687000,1.000000
CometBFT-light,cometbft-light,72,4,69.866508,2344.303000,1.000000
CometBFT-light,cometbft-light,72,5,69.612183,2480.798000,1.000000
CometBFT-light,cometbft-light,72,6,67.146558,2370.768000,1.000000
CometBFT-light,cometbft-light,72,7,84.740105,2438.684000,1.000000
CometBFT-light,cometbft-light,72,8,90.644369,2376.890000,1.000000
CometBFT-light,cometbft-light,72,9,76.346941,2231.427000,1.000000
CometBFT-light,cometbft-light,72,10,80.856249,2431.416000,1.000000
CometBFT-light,cometbft-light,80,1,54.516587,2456.399000,1.000000
CometBFT-light,cometbft-light,80,2,62.563386,2946.468000,1.000000
CometBFT-light,cometbft-light,80,3,79.086461,2257.516000,1.000000
CometBFT-light,cometbft-light,80,4,56.685425,2510.020000,1.000000
CometBFT-light,cometbft-light,80,5,54.357542,2910.929000,1.000000
CometBFT-light,cometbft-light,80,6,57.403674,2995.085000,1.000000
